Store Name,amenity,leisure,shop,count
DAHL'S / JOHNSTON,restaurant,None,None,11
DAHL'S / JOHNSTON,bar,None,None,4
DAHL'S / JOHNSTON,cafe,None,None,1
DAHL'S / JOHNSTON,pub,None,None,1
DAHL'S / MERLE HAY,None,None,supermarket,1
DAHL'S / MERLE HAY,bar,None,None,5
DAHL'S / MERLE HAY,cafe,None,None,4
DAHL'S / MERLE HAY,restaurant,None,None,17
DAHL'S / WDM,cafe,None,None,4
DAHL'S / WDM,pub,None,None,3
DAHL'S / WDM,None,None,supermarket,2
DAHL'S / WDM,restaurant,None,None,15
DAHL'S / WDM,bar,None,None,5
DASHMART / URBANDALE,pub,None,None,1
DASHMART / URBANDALE,restaurant,None,None,4
DASHMART / URBANDALE,bar,None,None,1
DEHNER DISTILLERY,None,None,supermarket,3
DEHNER DISTILLERY,bar,None,None,3
DEHNER DISTILLERY,cafe,None,None,3
DEHNER DISTILLERY,pub,None,None,1
DEHNER DISTILLERY,restaurant,None,None,9
DEHNER DISTILLERY,restaurant,amusement_arcade,None,1
DOWNTOWN PANTRY,None,None,supermarket,2
DOWNTOWN PANTRY,None,stadium,None,1
DOWNTOWN PANTRY,bar,None,None,35
DOWNTOWN PANTRY,cafe,None,None,13
DOWNTOWN PANTRY,pub,None,None,11
DOWNTOWN PANTRY,restaurant,None,None,55
DOWNTOWN PANTRY / DES MOINES,pub,None,None,11
DOWNTOWN PANTRY / DES MOINES,cafe,None,None,12
DOWNTOWN PANTRY / DES MOINES,restaurant,None,None,54
DOWNTOWN PANTRY / DES MOINES,None,stadium,None,1
DOWNTOWN PANTRY / DES MOINES,None,None,supermarket,2
DOWNTOWN PANTRY / DES MOINES,bar,None,None,34
EAST VILLAGE PANTRY,restaurant,None,coffee,1
EAST VILLAGE PANTRY,restaurant,None,None,51
EAST VILLAGE PANTRY,pub,None,None,10
EAST VILLAGE PANTRY,None,None,supermarket,3
EAST VILLAGE PANTRY,bar,None,None,31
EAST VILLAGE PANTRY,None,stadium,None,1
EAST VILLAGE PANTRY,cafe,None,None,8
EASYGO,None,None,supermarket,2
EASYGO,bar,None,None,10
EASYGO,cafe,None,None,7
EASYGO,pub,None,None,3
EASYGO,restaurant,None,None,15
EASYGO LIQUOR / WEST DES MOINES,restaurant,None,None,14
EASYGO LIQUOR / WEST DES MOINES,pub,None,None,3
EASYGO LIQUOR / WEST DES MOINES,bar,None,None,6
EASYGO LIQUOR / WEST DES MOINES,None,None,supermarket,1
EASYGO LIQUOR / WEST DES MOINES,cafe,None,None,2
EZ MART / BONDURANT,cafe,None,None,1
EZ MART / BONDURANT,pub,None,None,1
FAMILY PANTRY,restaurant,None,None,2
FAREWAY STORE # 167/JOHNSTON,restaurant,None,None,8
FAREWAY STORE # 167/JOHNSTON,pub,None,None,2
FAREWAY STORE # 167/JOHNSTON,cafe,None,None,1
FAREWAY STORE # 167/JOHNSTON,None,stadium,None,1
FAREWAY STORE # 167/JOHNSTON,None,None,supermarket,2
FAREWAY STORE # 167/JOHNSTON,bar,None,None,1
FAREWAY STORES #061 / ANKENY,None,None,supermarket,2
FAREWAY STORES #061 / ANKENY,pub,None,None,1
FAREWAY STORES #061 / ANKENY,restaurant,None,None,7
FAREWAY STORES #106 / CLIVE,None,None,supermarket,4
FAREWAY STORES #106 / CLIVE,bar,None,None,2
FAREWAY STORES #106 / CLIVE,cafe,None,None,6
FAREWAY STORES #106 / CLIVE,pub,None,None,4
FAREWAY STORES #106 / CLIVE,restaurant,None,None,19
FAREWAY STORES #137 / POLK CITY,restaurant,None,None,3
FAREWAY STORES #137 / POLK CITY,None,None,supermarket,1
FAREWAY STORES #137 / POLK CITY,bar,None,None,1
FAREWAY STORES #137 / POLK CITY,cafe,None,None,2
FAREWAY STORES #137 / POLK CITY,pub,None,None,1
FAREWAY STORES #138 / PLEASANT HILL,None,None,supermarket,1
FAREWAY STORES #153  /  W DES MOINES,restaurant,None,None,14
FAREWAY STORES #153  /  W DES MOINES,cafe,None,None,2
FAREWAY STORES #153  /  W DES MOINES,pub,None,None,3
FAREWAY STORES #153  /  W DES MOINES,bar,None,None,6
FAREWAY STORES #153  /  W DES MOINES,None,None,supermarket,1
FAREWAY STORES #167/JOHNSTON,None,None,supermarket,2
FAREWAY STORES #167/JOHNSTON,None,stadium,None,1
FAREWAY STORES #167/JOHNSTON,bar,None,None,1
FAREWAY STORES #167/JOHNSTON,cafe,None,None,1
FAREWAY STORES #167/JOHNSTON,pub,None,None,2
FAREWAY STORES #167/JOHNSTON,restaurant,None,None,8
FAREWAY STORES #183 / FLEUR,restaurant,None,None,7
FAREWAY STORES #183 / FLEUR,pub,None,None,1
FAREWAY STORES #183 / FLEUR,cafe,None,None,3
FAREWAY STORES #183 / FLEUR,None,None,supermarket,3
FAREWAY STORES #900 / EUCLID,None,None,supermarket,3
FAREWAY STORES #900 / EUCLID,bar,None,None,1
FAREWAY STORES #900 / EUCLID,restaurant,None,None,6
FAREWAY STORES #909 / ANKENY,None,None,supermarket,2
FAREWAY STORES #909 / ANKENY,cafe,None,None,3
FAREWAY STORES #909 / ANKENY,pub,None,None,2
FAREWAY STORES #909 / ANKENY,restaurant,None,None,8
FAREWAY STORES #925 / ALTOONA,restaurant,None,None,1
FAREWAY STORES #925 / ALTOONA,None,None,supermarket,2
FAREWAY STORES #933 / URBANDALE,None,None,supermarket,1
FAREWAY STORES #933 / URBANDALE,bar,None,None,3
FAREWAY STORES #933 / URBANDALE,cafe,None,None,2
FAREWAY STORES #933 / URBANDALE,pub,None,None,1
FAREWAY STORES #933 / URBANDALE,restaurant,None,None,10
FAREWAY STORES #975 / SE 22ND / DSM,None,None,supermarket,2
